,banglaname,banglishnames
9972,সেরিন আব্দেলনুর,Cyrine Abdelnour
9973,আম্মার আল-বেলুচি,Ammar al-Baluchi
9974,আরাশ,Arash
9975,আলবের্তো দেল রিও,Alberto Del Rio
9976,আলী নাকভি,Ali Naqvi
9977,ইমরান পারভেজ,Imran Parvez
9978,উসমান আফজাল,Usman Afzaal
9979,ঋত্বিক চক্রবর্তী,Ritwick Chakraborty
9980,চুয়াটেল এজিওফর,Chiwetel Ejiofor
9981,এ জে স্টাইলস,A.J. Styles
9982,মাখায়া এনটিনি,Makhaya Ntini
9983,এমানুয়েল মাক্রোঁ,Emmanuel Macron
9984,এমিল সুতোভস্কি,Emil Sutovsky
9985,মোহাম্মদ ওয়াসিম,Mohammad Wasim
9986,কবিতা কে. বারজাতিয়া,Kavita K. Barjatya
9987,কোরি কলিমোর,Corey Collymore
9988,কানইয়ে ওয়েস্ট,Kanye West
9989,প্রিয়াঙ্কা কার্কী,Priyanka Karki
9990,কার্ট মেটজার,Kurt Metzger
9991,কার্তিক শিবকুমার,Karthi
9992,ইন্দ্রা কিউ জিন,Eaindra Kyaw Zin
9993,কুমার সাঙ্গাকারা,Kumar Sangakkara
9994,কেভিন রোজ,Kevin Rose
9995,ক্রিস রজার্স,Chris Rogers
9996,ইউনুস খান,Younis Khan
9997,জিৎ গাঙ্গুলী,Jeet Gannguli
9998,গায়ত্রী যোশী,Gayatri Joshi
9999,অভিষ্কা গুণবর্ধনে,Avishka Gunawardene
10000,গুল পানাগ,Gul Panag
10001,চামিক হল্ডস্ক্লউ,Chamique Holdsclaw
10002,অঞ্জুম চোপড়া,Anjum Chopra
10003,জেসিকা চ্যাস্টেইন,Jessica Chastain
10004,জাকির হুসেইন,Zakir Hossain
10005,জামাল উদ্দীন আহমেদ,Jamaluddin Ahmed
10006,জাস্টিন ক্যাম্প,Justin Kemp
10007,হুয়াং জিয়াওমিং,Huang Xiaoming
10008,জুলফিকার মাহমুদ মিন্টু,Zulfiker Mahmud Mintu
10009,জেরেমি স্টপেলম্যান,Jeremy Stoppelman
10010,টিল ক্রায়েমার,Till Kraemer
10011,ডেভিড হাসি,David Hussey
10012,তাবাসসুম আদনান,Tabassum Adnan
10013,থিয়েরি অঁরি,Thierry Henry
10014,দিব্যা দত্তা,Divya Dutta
10015,দেবলীনা দত্ত,Debolina Dutta
10016,নাথান ব্র্যাকেন,Nathan Bracken
10017,নাদিয়া আলমাডা,Nadia Almada
10018,নিধি রাজদান,Nidhi Razdan
10019,নূর বুখারী,Noor Bukhari
10020,আন্দ্রে নেল,André Nel
10021,প্রশান্ত কিশোর,Prashant Kishor
10022,মাইকেল ফাসবেন্ডার,Michael Fassbender
10023,ফিল নেভিল,Phil Neville
10024,ফ্লয়েড মেওয়েদার,Floyd Mayweather Jr.
10025,অ্যান্ড্রু ফ্লিনটফ,Andrew Flintoff
10026,ববি রুড,Bobby Roode
10027,লুটস বসম্যান,Loots Bosman
10028,বসুন্ধরা দাস,Vasundhara Das
10029,গ্যারেথ বেটি,Gareth Batty
10030,ম্যাথু বেল,Matthew Bell
10031,বোয়েতা ডিপেনার,Boeta Dippenaar
10032,ব্রক লেজনার,Brock Lesnar
10033,ব্রাড হাড্ডিন,Brad Haddin
10034,অরলান্ডো ব্লুম,Orlando Bloom
10035,ডার্ক ভিলজোয়েন,Dirk Viljoen
10036,সামান্থা মর্টন,Samantha Morton
10037,মাইউমি ঈদুকা,Mayumi Iizuka
10038,মানিশ,Maniche
10039,মানু জিনোবিলি,Manu Ginóbili
10040,দিমিত্রি মাসকারেনহাস,Dimitri Mascarenhas
10041,মাহেলা জয়াবর্ধনে,Mahela Jayawardene
10042,মিকা টান,Mika Tan
10043,মিকা সিং,Mika Singh
10044,মরিয়ম মির্জাখানি,Maryam Mirzakhani
10045,মীরা,Meera
10046,সৃজিত মুখোপাধ্যায়,Srijit Mukherji
10047,মুবারক আল-নাবী,Mubarak Al-Nubi
10048,মেথিল দেবীকা,Methil Devika
10049,যীশু সেনগুপ্ত,Jisshu Sengupta
10050,রফিকুল খান,Rafikul Khan
10051,মুশফিকুর রহমান,Mushfiqur Rahman
10052,রাজান জাইতুনেহ,Razan Zaitouneh
10053,জুলফিকার রাসেল,Zulfiqer Russell
10054,রিঙ্কি খান্না,Rinke Khanna
10055,রেশমিন চৌধুরী,Reshmin Chowdhury
10056,রোনান কেটিং,Ronan Keating
10057,লায়লা আলী,Laila Ali
10058,লিভ টাইলার,Liv Tyler
10059,শহীদ আজমী,Shahid Azmi
10060,শাকিরা,Shakira
10061,শাকের আহমেদ কামাল,Ahmed Kamal
10062,শিল্পা শিন্দে,Shilpa Shinde
10063,শ্রুতি শেঠ,Shruti Seth
10064,সাই,Psy
10065,সাইমন কুক,Simon Cook
10066,সাঈদ আজমল,Saeed Ajmal
10067,সাক্ষী শিবানন্দ,Sakshi Shivanand
10068,গোলনার সার্ভাতিয়ান,Golnar Servatian
10069,সালমান খান,Sal Khan
10070,সালার কামাঙ্গার,Salar Kamangar
10071,মিকায়েল সিলভেস্ত্র্‌,Mikaël Silvestre
10072,সুলতান আহমেদ,Sultan Ahmed
10073,আসমা সুলতানা,Asma Sultana
10074,সৈয়দা তানিয়া মাহবুব তিন্নি,Tinni
10075,সোহেল রানা,Sohel Rana
10076,স্টিভেন মালহার্ন,Stephen Mulhern
10077,বেন হলিউক,Ben Hollioake
10078,টম হার্ডি,Tom Hardy
10079,হাসিবুল হোসেন,Hasibul Hossain
10080,হিদেতোশি নাকাতা,Hidetoshi Nakata
10081,হিনা রব্বানী খার,Hina Rabbani Khar
10082,হুমাম খলিল আবু মুলাল আল বালাবি,Humam Khalil Abu-Mulal al-Balawi
10083,কোরাল হেরেরা,Coral Herrera
10084,রাজীব গান্ধী,Rajiv Gandhi
10085,অ্যান ওকলে,Ann Oakley
10086,লীলা পুনাওয়ালা,Lila Poonawalla
10087,আব্দুল কাদির,Abdul Qadir
10088,ডেভিড ট্রিম্বল,David Trimble
10089,অঞ্জনা ভৌমিক,Anjana Bhowmick
10090,অনিল বিশ্বাস,Anil Biswas
10091,অনীস জঙ্গ,Anees Jung
10092,অ্যান ফুস্টো স্টেরলিং,Anne Fausto-Sterling
10093,অ্যান্ড্রু এস ট্যানেনবম,Andrew S. Tanenbaum
10094,অ্যালিস ওয়াকার,Alice Walker
10095,আ. ফ. ম. রুহুল হক,AFM Ruhal Haque
10096,আঁতনিউ দামাজিউ,Antonio Damasio
10097,আইভি রহমান,Ivy Rahman
10098,আকবর আলি খান,Akbar Ali Khan
10099,আজিজুর রহমান আজিজ,Azizur Rahman Aziz
10100,আজিজুল ইসলাম,Azizul Islam
10101,আনাসত্যাসিয়া ভেরটিন্সকায়া,Anastasiya Vertinskaya
10102,আনোয়ার হোসেন মঞ্জু,Anwar Hossain Manju
10103,আবদুল কাদির,Abdul Kadir
10104,আবু আয়েশ মণ্ডল,Abu Ayesh Mondal
10105,আবুল কাসেম ফজলুল হক,Abul Kashem Fazlul Haq
10106,আবুল কাসেম ফায়জুল হক,A. K. Faezul Huq
10107,আবুল হাসনাত আবদুল্লাহ,Abul Hasanat Abdullah
10108,আব্দুল মান্নান,Abdul Mannan
10109,লি আরভিন,Lee Irvine
10110,জিওফ আর্নল্ড,Geoff Arnold
10111,আলী যাকের,Aly Zaker
10112,ইউসুফ এস্টেস,Yusuf Estes
10113,জন ইনভেরারিটি,John Inverarity
10114,ইয়ান উইলমুট,Ian Wilmut
10115,পিটার উইয়ার,Peter Weir
10116,উইলিয়াম রালফ ব্রডি,William R. Brody
10117,এ. বি. এম. খায়রুল হক,A. B. M. Khairul Haque
10118,এ.এ. মারুফ সাকনাল,A. A. Maruf Saklain
10119,এবিএম মহিউদ্দীন চৌধুরী,A. B. M. Mohiuddin Chowdhury
10120,এম. এ. জব্বার,M. A. Jabbar
10121,স্যাম এলিয়ট,Sam Elliott
10122,ওয়ালিদ এহসানুল করিম,Waleed Ehsanul Karim
10123,ডেভিড ও’সালিভান,David O\Sullivan
10124,বব কটাম,Bob Cottam
10125,কাওসার আহমেদ চৌধুরী,Kausar Ahmed Chaudhury
10126,কারেন আর্মস্ট্রং,Karen Armstrong
10127,কার্লোস আলবার্তো তোরেস,Carlos Alberto Torres
10128,কিংকি ফ্রিডম্যান,Kinky Friedman
10129,ক্যারি মুলিস,Kary Mullis
10130,ক্লাইভ লয়েড,Clive Lloyd
10131,খন্দকার আবুল কাশেম,Khondakar Abul Kashem
10132,খন্দকার রশিদুজ্জামান দুদু,Khandaker Rashiduzzaman Dudu
10133,আলম খান,Alam Khan
10134,খুরশিদ আলম,Khurshid Alam
10135,গ্রেগরি হবলিট,Gregory Hoblit
10136,চন্দন কুমার ভট্টাচার্য্য,Chandan Kumar Bhattacharya
10137,স্টকার্ড চ্যানিং,Stockard Channing
10138,জেরাল্ডিন চ্যাপলিন,Geraldine Chaplin
10139,জঁ-পিয়ের সোভাজ,Jean-Pierre Sauvage
10140,জওহর দুদায়েভ,Dzhokhar Dudayev
10141,জয়ন্ত চট্টোপাধ্যায়,Jayanta Chattopadhyay
10142,জর্জ লুকাস,George Lucas
10143,জামশেদ গুলজার কিয়ানি,Jamshed Gulzar Kiani
10144,শাহিদা জামিল,Shahida Jamil
10145,জাম্বু,Jumbo
10146,জিম গ্রে,Jim Gray
10147,টেরি জেনার,Terry Jenner
10148,জেমস ক্রান,James Cran
10149,জেমস হেক্‌ম্যান,James Heckman
10150,জো ফ্রেজিয়ার,Joe Frazier
10151,জ্যাকুইলিন বিসেট,Jacqueline Bisset
10152,রস ডানকান,Ross Duncan
10153,ডেভিড জে ওয়াইনল্যান্ড,David J. Wineland
10154,চার্লি ডেভিস,Charlie Davis
10155,জোনাথন ডেমি,Jonathan Demme
10156,তাজুল ইসলাম চৌধুরী,Tajul Islam Choudhury
10157,তাবাসসুম,Tabassum
10158,দীপঙ্কর দে,Dipankar De
10159,নরোদম রানারিধ,Norodom Ranariddh
10160,পদ্মাবতী বন্দ্যোপাধ্যায়,Padma Bandopadhyay
10161,গ্রেইম পোলক,Graeme Pollock
10162,আলবার্ট প্যাডমোর,Albert Padmore
10163,প্রণীত কাউর,Preneet Kaur
10164,প্রমথনাথ রায়,Pramatha Nath Ray
10165,লোকমান হোসেন ফকির,Lokman Hossain Fakir
10166,ফিলিপ এ শার্প,Phillip Allen Sharp
10167,এরিক ফ্রিম্যান,Eric Freeman
10168,কিথ ফ্লেচার,Keith Fletcher
10169,আরিফ বাট,Arif Butt
10170,বান কি মুন,Ban Ki-moon
10171,মার্ক বার্জেস,Mark Burgess
10172,গ্যারি বিউসি,Gary Busey
10173,বিভু ভট্টাচার্য,Bibhu Bhattacharya
10174,বুদ্ধদেব দাশগুপ্ত,Buddhadeb Dasgupta
10175,বুদ্ধদেব ভট্টাচার্য,Buddhadeb Bhattacharjee
10176,জন বেনো,John Benaud
10177,ভ্যালেরি টেইলর,Valerie Ann Taylor
10178,মমতাজ উদ্দিন আহমেদ,Momtaz Uddin Ahmed
10179,মাইকেল ডগলাস,Michael Douglas
10180,মাইকেল রসব্যাশ,Michael Rosbash
10181,মাইরিয়াড মাগুরি,Mairead Maguire
10182,মারিয়া এলেনা বারিনি,Maria Elena Berini
10183,মালেকা বেগম,Maleka Begum
10184,মিস শেফালি,Miss Shefali
10185,মুহম্মাদ আলতাফ আলী,Altaf Ali
10186,নিক মেইসন,Nick Mason
10187,ফারহদ মেহরাদ,Farhad
10188,মোজাফফার আলী,Muzaffar Ali
10189,মোহাম্মদ আলী মুর্তুজা,Alee Murtuza
10190,মোহাম্মদ কোরবান আলী,Mohammad Korban Ali
10191,মোহাম্মদ সাইদুর রহমান,Mohammad Saidur Rahman
10192,মোহাম্মদ সিরাজুল আকবর,Muhammad Serajul Akbar
10193,মোহাম্মদ হানিফ,Mohammad Hanif
10194,রওনক জাহান,Rounaq Jahan
10195,রঞ্জিত ফার্নান্দো,Ranjit Fernando
10196,রঞ্জিত মল্লিক,Ranjit Mallick
10197,রডনি রেডমন্ড,Rodney Redmond
10198,আজাদ রহমান,Azad Rahman
10199,রাজশ্রী,Rajshree
10200,রাজিউদ্দিন আহমেদ রাজু,Rajiuddin Ahmed Raju
10201,রাণী হামিদ,Rani Hamid
10202,রিচার্ড ফোর্ড,Richard Ford
10203,ইব্রাহিম রুগোভা,Ibrahim Rugova
10204,রেইনহোল্ড মেসনার,Reinhold Messner
10205,ক্লাইভ র‍্যাডলি,Clive Radley
10206,লায়লা খালিদ,Leila Khaled
10207,লি মিউং-হি,Lee Myung-hee
10208,ল্যারি এলিসন,Larry Ellison
10209,কেন শাটলওয়ার্থ,Ken Shuttleworth
10210,শাহজাদ খলিল,Shahzad Khalil
10211,গেরহার্ড শ্রোয়েডার,Gerhard Schröder
10212,সংযুক্তা পাণিগ্রাহী,Sanjukta Panigrahi
10213,সন্তু লারমা,Jyotirindra Bodhipriya Larma
10214,আবুল কাশেম সন্দ্বীপ,Abul Kashem Sandwip
10215,সাইলাজা আচার্য,Shailaja Acharya
10216,সায়রা বানু,Saira Banu
10217,সালগাইরো মাইয়া,Salgueiro Maia
10218,মহাদেব সাহা,Mahadev Saha
10219,সাহেবজাদা মুহাম্মদ ইসহাক জাফফার,Sahibzada Muhammad Ishaq Zaffar
10220,সি. এস. লক্ষ্মী,C. S. Lakshmi
10221,সিমি গারেওয়াল,Simi Garewal
10222,সিরাজ সিকদার,Siraj Sikder
10223,সুধারানী রঘুপতি,Sudharani Raghupathy
10224,সুমন মুখোপাধ্যায়,Suman Mukhopadhyay
10225,সেবাস্তিয়ান ভিবের্তি,Sebastián Viberti
10226,সৈয়দ আকরম হোসেন,Syed Akram Hossain
10227,সৈয়দ মোয়াজ্জেম আলী,Syed Muazzem Ali
10228,টনি স্কট,Tony Scott
10229,স্টর্ম থরগের্সন,Storm Thorgerson
10230,জেন হকিং,Jane Hawking
10231,আব্দুল হামিদ,Abdul Hamid
10232,আবুল হায়াত,Abul Hayat
10233,হুইটফিল্ড ডিফি,Whitfield Diffie
10234,মহম্মদ আনস,Muhammed Anas
10235,দীপ গ্রেস এক্কা,Deep Grace Ekka
10236,সিনালো জাফতা,Sinalo Jafta
10237,আয়শা কাপুর,Ayesha Kapur
10238,ওরিন কারস্টেন,Odine Kirsten
10239,অদিতি পোহনকর,Aaditi Pohankar
10240,ক্লো ট্রায়ন,Chloe Tryon
10241,অক্ষর প্যাটেল,Axar Patel
10242,অঞ্জুম মৌদগিল,Anjum Moudgil
10243,অনন্যা বিড়লা,Ananya Birla
10244,অ্যাডাম পিটি,Adam Peaty
10245,অ্যানা লিলিয়ানা আভিয়াও,Ana Liliana Avião
10246,অ্যান্থনি লিম্বোম্বে,Anthony Limbombe
10247,বাবর আজম,Babar Azam
10248,প্রসূন আজাদ,Prosun Azad
10249,আদ্রিয়ান নেইল,Adrian Neill
10250,আনিসুল ইসলাম ইমন,Anisul Islam Emon
10251,আমিনুর রহমান সজীব,Aminur Rahman Sajib
10252,অগাস্ট আমেস,August Ames
10253,আরাফ শার্ড,Araf Shardd
10254,আর্কাদিউশ মিলিক,Arkadiusz Milik
10255,আলমিলা আদা,Almila Ada
10256,আলী আহমেদ,Ali Ahmed
10257,ফাহিম আশরাফ,Faheem Ashraf
10258,আসির ইনতেসার,Asir Intesar
10259,আহমেদ খলিল,Ahmed Khalil
10260,ইন্ধুজা,Indhuja
10261,ইবাদত হোসেন,Ebadot Hossain
10262,ইমরান আলী,Imran Ali
10263,ইমরান উজ্জামান,Imran Uzzaman
10264,ইয়াসিন খান,Yeasin Khan
10265,ইয়েরি মিনা,Yerry Mina
10266,ইরফান আহমেদ,Irfan Ahmed
10267,উর্বশী রাউটেলা,Urvashi Rautela
10268,এমা ফেরার,Emma Ferrer
10269,এরিক ডিয়ার,Eric Dier
10270,ওকেরা বেসকম,Okera Bascome
10271,করেন্তিনো তোলিসো,Corentin Tolisso
10272,এমরে কান,Emre Can
10273,কামাউ লিভারক,Kamau Leverock
10274,কার্লোস ভিগারায়,Carlos Vigaray
10275,কাহরাবা,Kahraba
10276,কেইটলিন টাইসন,Caitlin Tyson
10277,কেইশা গ্রে,Keisha Grey
10278,টায়রন কেন,Tyrone Kane
10279,কেপা আরিসাবালাগা,Kepa Arrizabalaga
10280,মাতেও কোভাচিচ,Mateo Kovačić
10281,গাইলান শালালি,Ghailene Chaalali
10282,জন স্টোনস,John Stones
10283,জয়া আফরোজ,Zoya Afroz
10284,জর্ডান পিকফোর্ড,Jordan Pickford
10285,জান ফ্রাইলিঙ্ক,Jan Frylinck
10286,জাস্টিন বিবার,Justin Bieber
10287,রিস টপলি,Reece Topley
10288,টাইসা ফারমিগা,Taissa Farmiga
10289,নীতি টেলর,Niti Taylor
10290,ডাকোটা ফ্যানিং,Dakota Fanning
10291,ডেনিস সুয়ারেজ,Denis Suárez
10292,ডোনাল বিশ্ত,Donal Bisht
10293,ড্যামিয়েন রাভু,Damien Ravu
10294,তপু বর্মন,Topu Barman
10295,তামারিন গ্রীন,Tamaryn Green
10296,তালিস্কা,Talisca
10297,দর্শনা বণিক,Darshana Banik
10298,দীপিকা কুমারী,Deepika Kumari
10299,নাইম ইসলাম,Naeem Islam
10300,নাঈম ইসলাম জুনিয়র,Naeem Islam Jr.
10301,নাওমিচি উয়েদা,Naomichi Ueda
10302,নাজরিয়া নাজিম,Nazriya Nazim
10303,নাসুম আহমেদ,Nasum Ahmed
10304,নীতিশ কুমার,Nitish Kumar
10305,নূরুজ্জামান,Nuruzzaman
10306,পরশ অরোরা,Paras Arora
10307,নিক পাওয়েল,Nick Powell
10308,শালিনী পাণ্ডে,Shalini Pandey
10309,পারুল গুলাটি,Parul Gulati
10310,পিওত্র জিলিনস্কি,Piotr Zieliński
10311,পূজা ধান্ডা,Pooja Dhanda
10312,ম্যাডেলেইন পেচ,Madelaine Petsch
10313,প্রিয়াঙ্কা ইয়োশিকাওয়া,Priyanka Yoshikawa
10314,ফাহাদ আল-মুয়াল্লাদ,Fahad Al-Muwallad
10315,ফ্রান্সেসকা হাং,Francesca Hung
10316,বজরং পুনিয়া,Bajrang Punia
10317,বেকি গ্লেন,Becky Glen
10318,আলেক বেঞ্জামিন,Alec Benjamin
10319,বেন ডাকেট,Ben Duckett
10320,বের্নার্দো সিলভা,Bernardo Silva
10321,বৈশালী মোহান্তি,Baisali Mohanty
10322,ব্রিটানি এলমস্লাই,Brittany Elmslie
10323,ব্রুনো ফার্নান্দেস,Bruno Fernandes
10324,ভিনেশ ফোগাট,Vinesh Phogat
10325,বঁজামাঁ মঁদি,Benjamin Mendy
10326,মধুমিতা সরকার,Madhumita Sarkar
10327,মাথিয়াস গিন্টের,Matthias Ginter
10328,মারকিনয়োস,Marquinhos
10329,মার্ক চ্যাপম্যান,Mark Chapman
10330,এইডেন মার্করাম,Aiden Markram
10331,মার্গারেট কোয়ালি,Margaret Qualley
10332,মার্তা স্তেপিয়েন,Marta Stępień
10333,মাহমুদ হাসান,Trézéguet
10334,মিলোস ডেগেনেক,Miloš Degenek
10335,বেথ মুনি,Beth Mooney
10336,মুহাম্মদ হারুন তারিক,Haroon Tariq
10337,মেইজু কিন,Meisu Qin
10338,ক্যামিলা মেন্ডেস,Camila Mendes
10339,মোহাম্মদ আরাফাত,Mohammad Arafat
10340,মোহাম্মদ নওয়াজ,Mohammad Nawaz
10341,মোহাম্মদ সিরাজ,Mohammed Siraj
10342,মোহাম্মদ কান্নো,Mohamed Kanno
10343,মৌসম খাত্রি,Mausam Khatri
10344,রঞ্জিত সিং,Ranjit Singh
10345,শুকতারা রহমান,Shukhtara Rahman
10346,রাকেল পিনেল,Raquel Pinel
10347,রাজীবুল ইসলাম,Rajibul Islam
10348,রাণী রামপাল,Rani Rampal
10349,রাসেল মাহমুদ লিটন,Russel Mahmud Liton
10350,রাহিম স্টার্লিং,Raheem Sterling
10351,রেবেকা কাবুঘু,Rebecca Kabugho
10352,সার্শা রোনান,Saoirse Ronan
10353,লাউভ,Lauv
10354,মারনাস লাবুশেন,Marnus Labuschagne
10355,লালরেম্রুয়াতা আরেমা,Lalremruata Arema
10356,লিওনার্দো পারেদেস,Leandro Paredes
10357,লিটন দাস,Liton Das
10358,শিবানী সুরভি,Shivani Surve
10359,শিরিন আক্তার,Shirin Akter
10360,শেহনাজ কৌর গিল,Shehnaaz Kaur Gill
10361,শ্যামলী রায়,Shamoli Ray
10362,শ্রেয়াস আইয়ার,Shreyas Iyer
10363,সজল আলি,Sajal Aly
10364,সাঁইখোম মীরাবাই চানু,Saikhom Mirabai Chanu
10365,সাউল নিগুয়েজ,Saúl Ñíguez
10366,সাফা কবির,Safa Kabir
10367,সারাহ হ্যান্ড্রিকসন,Sarah Hendrickson
10368,সোপিতা তানাসান,Sopita Tanasan
10369,হ্যারি স্টাইলস,Harry Styles
10370,হলজি,Halsey
10371,হাশমতুল্লাহ শাহিদী,Hashmatullah Shahidi
10372,হাসান আলী,Hasan Ali
10373,কুয়োন চ্যাঙ হুন,Kwon Chang-hoon
10374,হেরার্দ দেউলোফেউ,Gerard Deulofeu
10375,হৌ ইফান,Hou Yifan
10376,শান্তা গান্ধী,Shanta Gandhi
10377,অমর নাগ,Amar Nag
10378,অসীমা চট্টোপাধ্যায়,Asima Chatterjee
10379,অস্কার রোমেরো,Óscar Romero
10380,অ্যান্ড্রিউ ফিল্ডিং হ্যাক্সলি,Andrew Huxley
10381,অ্যান্থনি বার্জেস,Anthony Burgess
10382,আখতার ইমাম,Akhtar Imam
10383,আর্থার সি ক্লার্ক,Arthur C. Clarke
10384,ইন্দিরা গান্ধী,Indira Gandhi
10385,ইয়াহিয়া খান,Yahya Khan
10386,ইয়াহিয়া পেত্রা,Yahya Petra of Kelantan
10387,উইলিয়াম এ এস ওডারল্যান্ড,William A. S. Ouderland
10388,এম জি রামচন্দ্রন,M. G. Ramachandran
10389,এরিক রাউটলি,Erik Routley
10390,জেন ওয়াইম্যান,Jane Wyman
10391,ওয়ান্ডা কোসাকিওইজ,Wanda Kosakiewicz
10392,কামাক্ষীপ্রসাদ চট্টোপাধ্যায়,Kamakhkhi Prasad Chattopadhyay
10393,জন ফিট্‌জেরাল্ড কেনেডি,John F. Kennedy
10394,কেরিম কেরিমভ,Kerim Kerimov
10395,ক্যাস্পার ওয়েইনবারগার,Caspar Weinberger
10396,কেন ক্রান্সটন,Ken Cranston
10397,খোদেজা খাতুন,Khodeja Khatun
10398,জন ওয়ারকাপ কর্নফোর্থ,John Cornforth
10399,জন কেন্ড্রেও,John Kendrew
10400,জন ফেন,John Fenn
10401,ইয়ান জনসন,Ian Johnson
10402,টাইরেল জনসন,Tyrell Johnson
10403,জয়নাব আল গাজালী,Zainab al Ghazali
10404,জামিনা বেগম,Zamina Begum
10405,জেমস রেইনওয়াটার,James Rainwater
10406,জোন ফন্টেইন,Joan Fontaine
10407,প্রায়র জোন্স,Prior Jones
10408,জোভদাত হাজিয়েভ,Jovdat Hajiyev
10409,হিউ টয়,Hugh Toye
10410,মার্টিন ডনেলি,Martin Donnelly
10411,মায়া ডেরেন,Maya Deren
10412,নবেন্দু ঘোষ,Nabendu Ghosh
10413,নায়না দেবী,Naina Devi
10414,নূর মুহাম্মদ তারাকি,Nur Muhammad Taraki
10415,পদ্মা দেবী,Padma Devi
10416,পার্ক চুং-হি,Park Chung-hee
10417,জ্যাক প্লিমসল,Jack Plimsoll
10418,ফজলুল কবির চৌধুরী,AKM Fazlul Kabir Chowdhury
10419,ফাদওয়া তুকান,Fadwa Tuqan
10420,উইলফ্রেড ফার্গুসন,Wilfred Ferguson
10421,ফের্দিনান্দ মার্কোস,Ferdinand Marcos
10422,বসুন্ধরা দেবী,Vasundhara Devi
10423,বাহাউল্লাহ,Baháʼu\lláh
10424,বিজন ভট্টাচার্য,Bijon Bhattacharya
10425,আর্নেস্ট বোর্গনাইন,Ernest Borgnine
10426,মনতোষ রায়,Monotosh Roy
10427,জ্যাক মরনি,Jack Moroney
10428,জর্জ মান,George Mann
10429,বিনু মানকড়,Vinoo Mankad
10430,রবার্ট মিচাম,Robert Mitchum
10431,মুহাম্মদ ইউসুফ কান্ধলভি,Muhammad Yusuf Kandhlawi
10432,যিহোশূয় নিকোমো,Joshua Nkomo
10433,খান্দু রংনেকর,Khandu Rangnekar
10434,রডনি রবার্ট পোর্টার,Rodney Robert Porter
10435,রবার্ট স্টার্লিং,Robert Sterling
10436,জ্যাক রবার্টসন,Jack Robertson
10437,আজিজুর রহমান,Azizur Rahman
10438,রাধিকা মোহন মৈত্র,Radhika Mohan Maitra
10439,রেনু চক্রবর্তী,Renu Chakravartty
10440,লিওনিদ হারউইচ,Leonid Hurwicz
10441,শওকত ওসমান,Shawkat Osman
10442,স্টুয়ার্ট সারিজ,Stuart Surridge
10443,সিডনি শেলডন,Sidney Sheldon
10444,সুনীতি চৌধুরী,Suniti Choudhury
10445,সৈয়দ এ. বি. মাহমুদ হোসেন,Syed A. B. Mahmud Hossain
10446,রয় স্কট,Roy Scott
10447,রন স্যাগার্স,Ron Saggers
10448,আহসান হাবীব,Ahsan Habib
10449,হার্বার্ট হপ্টম্যান,Herbert A. Hauptman
10450,সুজান হেওয়ার্ড,Susan Hayward
10451,সেলেস্ট হোম,Celeste Holm
10452,কাইল এ্যাবট,Kyle Abbott
10453,নিদা দার,Nida Dar
10454,ডিন এলগার,Dean Elgar
10455,জাভি গার্সিয়া,Javi García
10456,পূজা গুপ্ত,Puja Gupta
10457,মেরিনা ইকবাল,Marina Iqbal
10458,Kesha,Kesha
10459,সামি খেদিরা,Sami Khedira
10460,কোনেরু হাম্পি,Humpy Koneru
10461,রোহুল্লা নিকপাই,Rohullah Nikpai
10462,মারিও সুয়ারেজ,Mario Suárez
10463,জেমি ভার্ডি,Jamie Vardy
10464,অঞ্জলি পাটিল,Anjali Patil
10465,অনির্বাণ লাহিড়ী,Anirban Lahiri
10466,অনুপ্রিয়া গোয়েঙ্কা,Anupriya Goenka
10467,অনুমোল,Anumol
10468,অন্তরা মিত্র,Antara Mitra
10469,অভিষেক বন্দ্যোপাধ্যায়,Abhishek Banerjee
10470,অশ্বিন কাকুমানু,Ashwin Kakumanu
10471,অশ্বিনী আকুঞ্জি,Ashwini Akkunji
10472,অ্যাডাম লিথ,Adam Lyth
10473,অ্যাডেমোলা ওনিকোয়ী,Ademola Onikoyi
10474,অ্যান্ডি মারি,Andy Murray
10475,অ্যাপোলো ক্রুস,Apollo Crews
10476,অ্যাফি ফ্লেচার,Afy Fletcher
10477,অ্যালেক্স ওবান্দা,Alex Obanda
10478,অ্যালেক্স সং,Alex Song
10479,আজমল কাসাব,Ajmal Kasab
10480,আজিজ বুহাদ্দুজ,Aziz Bouhaddouz
10481,আদনান আল রাজীব,Adnan Al Rajeev
10482,আনোয়ার আলী,Anwar Ali
10483,আন্তোনিও আদান,Antonio Adán
10484,লিসা আন্দ্রিয়াস,Lisa Andreas
10485,আন্দ্রে ফ্লেচার,Andre Fletcher
10486,আবদুর রশিদ,Abdur Rashid
10487,আবদুল্লাহ মাজারী,Abdullah Mazari
10488,আব্দুল বাতেন মজুমদার কোমল,Abdul Baten Mojumdar Komol
10489,জহিব ইসলাম আমিরী,Zohib Islam Amiri
10490,আরতুরো ভিদাল,Arturo Vidal
10491,আরদা তুরান,Arda Turan
10492,আরফা সিদ্দিক,Arfa Siddiq
10493,আরি ফ্রের স্কুলাসন,Ari Freyr Skúlason
10494,সিনথিয়া আরিভো,Cynthia Erivo
10495,আরেফিন রুমি,Arfin Rumey
10496,আর্তুর জেদরেকজিক,Artur Jędrzejczyk
10497,আবিদ আলী,Abid Ali
10498,মঈন আলী,Moeen Ali
10499,আল্লু শিরিশ,Allu Sirish
10500,আসগর আফগান,Asghar Afghan
